bin_size,TH,PC_pair,mean_RMSE,std_RMSE,count,se
0.1,-3,"1,2",0.25890011927118156,0.18838594251509405,12,0.05438233731131546
0.1,-3,"1,3",0.31060032921219355,0.13177111801233293,12,0.038039045227919184
0.1,-3,"1,4",0.32952484096007895,0.10141526227835047,12,0.029276064488171074
0.1,-3,"1,5",0.3000021941166406,0.12134279547272137,12,0.035028647815198696
0.1,-3,"1,6",0.2946301239650828,0.08039645719887561,12,0.023208458102831533
0.1,-3,"2,3",0.4259341148393651,0.17892801124832267,12,0.05165206772989174
0.1,-3,"2,4",0.4566059848064014,0.12752851443525068,12,0.03681431106927253
0.1,-3,"2,5",0.4701589131110077,0.18546217903605955,12,0.053538319495481775
0.1,-3,"2,6",0.4514728487023629,0.11880377943201847,12,0.034295697017910395
0.1,-3,"3,4",0.5556097370612884,0.21854518484697122,12,0.06308856065074768
0.1,-3,"3,5",0.6262167056925011,0.14688629554672528,12,0.04240242113708439
0.1,-3,"3,6",0.6653592224779383,0.15425222620274598,12,0.04452878216062722
0.1,-3,"4,5",0.688545976902084,0.17276642208145024,12,0.049873370147826904
0.1,-3,"4,6",0.6375252906596184,0.13994702257926678,12,0.040399225579213154
0.1,-3,"5,6",0.645809210920035,0.1965102039996014,12,0.05672760958883907
0.1,-2,"1,2",0.09545546735202026,0.03473410239604618,12,0.010026871684208644
0.1,-2,"1,3",0.19404659371516383,0.061363007331717644,12,0.01771397440062608
0.1,-2,"1,4",0.29585077858175934,0.1440382147928928,12,0.0415802510421349
0.1,-2,"1,5",0.226077294066944,0.0972805136976151,12,0.02808246538511158
0.1,-2,"1,6",0.2596775372755711,0.10389069362894542,12,0.029990659966484288
0.1,-2,"2,3",0.2876327276020109,0.09702224891815499,12,0.02800791076513983
0.1,-2,"2,4",0.40334511772780823,0.14573219746990385,12,0.042069261719422345
0.1,-2,"2,5",0.30633078834405214,0.18416801652384934,12,0.053164726958081936
0.1,-2,"2,6",0.3937491352720602,0.13697846718142467,12,0.03954227745018893
0.1,-2,"3,4",0.42449922085202313,0.3118829590547154,12,0.0900328551829485
0.1,-2,"3,5",0.4322478947657937,0.21895746931159962,12,0.06320757692406563
0.1,-2,"3,6",0.4945268556980329,0.23122724623008115,12,0.06674955642745661
0.1,-2,"4,5",0.5760086812844653,0.27292790954487295,12,0.07878750102254711
0.1,-2,"4,6",0.6299996122262579,0.2032663352375941,12,0.058677936683306835
0.1,-2,"5,6",0.5538773099907199,0.2715458647494291,12,0.0783885390552063
0.1,-1,"1,2",0.28638674946672055,0.3440226490437577,12,0.09931078451637083
0.1,-1,"1,3",0.1297334611294046,0.056686497515255445,12,0.016363982299924893
0.1,-1,"1,4",0.24558798493236797,0.2194997733190795,12,0.06336412660641619
0.1,-1,"1,5",0.19142593931662566,0.09061270283500104,12,0.02615763418689371
0.1,-1,"1,6",0.1963188853334117,0.13961447185633116,12,0.040303226454510115
0.1,-1,"2,3",0.3335087877062572,0.28249908204331053,12,0.08155046053176376
0.1,-1,"2,4",0.33025558834335333,0.21263442262608356,12,0.061382270571075
0.1,-1,"2,5",0.37526568307177444,0.1964005407868558,12,0.056695952546139634
0.1,-1,"2,6",0.27613337335399096,0.19439915302767966,12,0.056118201665383054
0.1,-1,"3,4",0.40450799628715917,0.31052605553930307,12,0.08964115087800466
0.1,-1,"3,5",0.30860324146793056,0.2137793585152457,12,0.061712785092981316
0.1,-1,"3,6",0.30925843744053594,0.19939382972754038,12,0.05756004063397292
0.1,-1,"4,5",0.29705183545033403,0.23369000237433746,12,0.06746049288887401
0.1,-1,"4,6",0.3065369375132936,0.22245925127971705,12,0.06421845430503362
0.1,-1,"5,6",0.42917213709458796,0.30477823760662337,12,0.08798189876266187
0.2,-3,"1,2",0.3915801019356049,0.2522284475420029,12,0.0728120810428284
0.2,-3,"1,3",0.3875746286252593,0.23871126425241962,12,0.06891000633736519
0.2,-3,"1,4",0.4111408956809503,0.19169945047807888,12,0.05533886466851109
0.2,-3,"1,5",0.36597117675124724,0.19329516366133728,12,0.05579950738646293
0.2,-3,"1,6",0.37844896287671453,0.1906214936607622,12,0.0550276853391848
0.2,-3,"2,3",0.42864856561127,0.14755367558417984,12,0.04259507715922247
0.2,-3,"2,4",0.5492396608929299,0.15073272048531972,12,0.04351278837394198
0.2,-3,"2,5",0.44897741017551945,0.16896249635166702,12,0.04877527137579306
0.2,-3,"2,6",0.5248723842703736,0.12970802339992957,12,0.03744348111300181
0.2,-3,"3,4",0.6379709327727475,0.19665710296639555,12,0.05677001566785021
0.2,-3,"3,5",0.5475396026451106,0.14522385367399646,12,0.04192251550571834
0.2,-3,"3,6",0.6350992292664922,0.15369707146368364,12,0.044368522791607454
0.2,-3,"4,5",0.6174242449876804,0.1902967296249571,12,0.05493393403743722
0.2,-3,"4,6",0.5854471812107868,0.13336808995589414,12,0.038500051318670854
0.2,-3,"5,6",0.665569381866013,0.1868139670520793,12,0.05392854708294994
0.2,-2,"1,2",0.2385873908482843,0.25792726574090236,12,0.07445718815342706
0.2,-2,"1,3",0.35280808465936486,0.1456991010091789,12,0.04205970759416796
0.2,-2,"1,4",0.37693675137483584,0.11874991645514531,12,0.034280148115811857
0.2,-2,"1,5",0.2934981672079469,0.12007197599119687,12,0.0346617938303239
0.2,-2,"1,6",0.3078663450470151,0.0908284544957124,12,0.026219916326588617
0.2,-2,"2,3",0.40839837005859536,0.16064463635324247,12,0.046374112021207045
0.2,-2,"2,4",0.3976468942225799,0.13204019274072978,12,0.03811672041135521
0.2,-2,"2,5",0.3252024043546631,0.08727391085109033,12,0.025193807961554203
0.2,-2,"2,6",0.3757196397787899,0.07913626395271753,12,0.022844671647881374
0.2,-2,"3,4",0.5271921263706484,0.3046151059229281,12,0.08793480670191446
0.2,-2,"3,5",0.5536392548636652,0.26500421944411784,12,0.07650012871622405
0.2,-2,"3,6",0.6490284403320198,0.18618759430371185,12,0.053747728845508436
0.2,-2,"4,5",0.5729065263628758,0.2333348739939332,12,0.06735797615586238
0.2,-2,"4,6",0.6454352667690354,0.23647301945424898,12,0.06826388071899714
0.2,-2,"5,6",0.5322311478941156,0.21386973012912322,12,0.061738873130780955
0.2,-1,"1,2",0.2007381642826667,0.28108553728523367,12,0.08114240530847013
0.2,-1,"1,3",0.3103470857863113,0.16092101700442027,12,0.0464538962428852
0.2,-1,"1,4",0.3188493766722541,0.19253780712645496,12,0.055580877386819515
0.2,-1,"1,5",0.26278649570368223,0.1793957588099863,12,0.051787094820211384
0.2,-1,"1,6",0.34813821269667405,0.1612652689906525,12,0.04655327323134532
0.2,-1,"2,3",0.3126875722656523,0.11657200508544323,12,0.033651439258027535
0.2,-1,"2,4",0.3314011372893051,0.17482635185231585,12,0.050468020651687394
0.2,-1,"2,5",0.2598445998998745,0.09856669532522856,12,0.02845375403957627
0.2,-1,"2,6",0.4087879698501589,0.1489193596099458,12,0.042989316179174446
0.2,-1,"3,4",0.40985470836005367,0.2936405044558147,12,0.08476671214627106
0.2,-1,"3,5",0.37226378355257667,0.17565335883955105,12,0.05070675700503837
0.2,-1,"3,6",0.5265247193133495,0.26402374929273353,12,0.076217091363307
0.2,-1,"4,5",0.44202046366034037,0.2761912436480767,12,0.0797295444340173
0.2,-1,"4,6",0.5342042767172435,0.25132251090000807,12,0.07255055966076616
0.2,-1,"5,6",0.5450204567146486,0.2924626211359034,12,0.08442668652035867
0.3,-3,"1,2",0.4294201687762251,0.2352297474707035,12,0.06790497901180918
0.3,-3,"1,3",0.4493943427412912,0.21619307197891982,12,0.062409564151980755
0.3,-3,"1,4",0.44003605816747604,0.16652268525447292,12,0.048070958578924634
0.3,-3,"1,5",0.46589016476396966,0.19230007640774097,12,0.05551225043959743
0.3,-3,"1,6",0.48875039905326717,0.16797744671576872,12,0.04849091203956755
0.3,-3,"2,3",0.47975065516023196,0.14929623625884528,12,0.04309811109652115
0.3,-3,"2,4",0.5875269291440758,0.11490519148970078,12,0.03317027161893212
0.3,-3,"2,5",0.5478207644896916,0.15653062317489322,12,0.04518649871322224
0.3,-3,"2,6",0.5636143753205957,0.1741629570431874,12,0.05027651506587274
0.3,-3,"3,4",0.5834569019960153,0.17185230310650676,12,0.04960948672969942
0.3,-3,"3,5",0.6352205900759152,0.13650836902730473,12,0.03940657180227558
0.3,-3,"3,6",0.6813847382685269,0.15224219118988322,12,0.04394853503274878
0.3,-3,"4,5",0.7309632819835755,0.12203249422281114,12,0.03522774669471073
0.3,-3,"4,6",0.6877665197925465,0.10511763138916368,12,0.030344846389554755
0.3,-3,"5,6",0.6479870293984266,0.1383123947033468,12,0.03992734915711953
0.3,-2,"1,2",0.2609848182656083,0.26758364298052983,12,0.07724474415277481
0.3,-2,"1,3",0.35876946075001054,0.17774394761971002,12,0.051310258002533166
0.3,-2,"1,4",0.4224091720582484,0.16958265178104776,12,0.04895429482783925
0.3,-2,"1,5",0.35197953508332075,0.18798010896900427,12,0.05426518325777491
0.3,-2,"1,6",0.3745984180968136,0.1596323355569325,12,0.04608188595258182
0.3,-2,"2,3",0.41537727392503254,0.20690931374265445,12,0.05972957399358114
0.3,-2,"2,4",0.4773153732767447,0.20989511099018293,12,0.06059149941588425
0.3,-2,"2,5",0.4122119569306432,0.14956101943837424,12,0.04317454741651011
0.3,-2,"2,6",0.47275062278638763,0.22243270607331941,12,0.06421079136400394
0.3,-2,"3,4",0.5445120230771605,0.27338016361819595,12,0.07891805552803469
0.3,-2,"3,5",0.5320810046099246,0.22192798621583013,12,0.06406509129121055
0.3,-2,"3,6",0.5951735649940052,0.2174393092843934,12,0.06276932187387542
0.3,-2,"4,5",0.6309000790305416,0.20304244673882924,12,0.05861330564079166
0.3,-2,"4,6",0.6424787287857675,0.18810539932197687,12,0.054301351467282696
0.3,-2,"5,6",0.6511438945612583,0.21264013598045606,12,0.06138391987441747
0.3,-1,"1,2",0.21340873922579953,0.28018034978248235,12,0.08088110018427985
0.3,-1,"1,3",0.33650820966354966,0.20822403440865284,12,0.06010910115879281
0.3,-1,"1,4",0.33708197279102897,0.20529898803001514,12,0.059264713001743505
0.3,-1,"1,5",0.31972159251597737,0.2213451470316107,12,0.06389684011125887
0.3,-1,"1,6",0.38276463730708016,0.17537561584530134,12,0.05062657950879056
0.3,-1,"2,3",0.3813731705142574,0.2693136779633825,12,0.07774416223430354
0.3,-1,"2,4",0.3978462168653217,0.1879118180888346,12,0.05424546937875032
0.3,-1,"2,5",0.3480947870299293,0.14281616796214913,12,0.04122747650878881
0.3,-1,"2,6",0.42063112866421726,0.14367611084670823,12,0.04147572063673276
0.3,-1,"3,4",0.5293789987542538,0.3130367182291224,12,0.09036591676791042
0.3,-1,"3,5",0.5495045678801629,0.20923947479253274,12,0.06040223354828235
0.3,-1,"3,6",0.6230445998359161,0.18314713101824331,12,0.05287002269734522
0.3,-1,"4,5",0.5394556797633263,0.2877497040431689,12,0.08306618454427936
0.3,-1,"4,6",0.5429962093349354,0.16799233062455998,12,0.04849520865394116
