bin_size,TH,PC_pair,mean_RMSE,std_RMSE,count,se
0.1,-1,"1,3",0.1272249984822835,0.03636059156635118,12,0.010496398664363445
0.1,-1,"1,4",0.16725472151593215,0.09835068045098057,12,0.02839139591667825
0.1,-1,"1,5",0.19799204748892948,0.07972255915890879,12,0.023013920495440928
0.1,-1,"1,6",0.23059799667158162,0.13394754147409105,12,0.03866732456367752
0.1,-1,"2,3",0.11952288701633972,0.05532921201584145,12,0.01597216772569797
0.1,-1,"2,4",0.19957879926724553,0.20370547389873392,12,0.05880470509541716
0.1,-1,"2,5",0.18620882837312516,0.0998530020675276,12,0.028825078811539662
0.1,-1,"2,6",0.27265098311368624,0.17240087025180403,12,0.04976784442420241
0.1,-1,"3,4",0.28717222196095255,0.2143681264825105,12,0.06188274776517659
0.1,-1,"3,5",0.28792619944839404,0.1227271621674395,12,0.035428280057125026
0.1,-1,"3,6",0.3773504790011601,0.23556456585220328,12,0.06800163275315345
0.1,-1,"4,5",0.3838503352677258,0.25776448382371786,12,0.07441019706157423
0.1,-1,"4,6",0.5163824517160908,0.28480637325420366,12,0.08221651813261777
0.1,-1,"5,6",0.4472440111685181,0.30077682860983945,12,0.08682679148194637
0.2,-3,"1,2",0.3062188372561883,0.18875273547543378,12,0.054488221318509965
0.2,-3,"1,3",0.3525220895308951,0.07185337499443978,12,0.020742282697611466
0.2,-3,"1,4",0.4087136248408279,0.09971181691759153,12,0.028784322169379074
0.2,-3,"1,5",0.37920691405119494,0.10881613885328564,12,0.03141251352956008
0.2,-3,"1,6",0.34496075951773864,0.06930957441669745,12,0.02000795072344934
0.2,-3,"2,3",0.4531845246833572,0.24921557447725598,12,0.07194233950534548
0.2,-3,"2,4",0.6059483925166149,0.14428854874415603,12,0.041652516229209464
0.2,-3,"2,5",0.52152812424599,0.14899390675062044,12,0.04301083608504236
0.2,-3,"2,6",0.4925085897074848,0.12765504813626768,12,0.03685083820244439
0.2,-3,"3,4",0.6010579873668083,0.175512648720199,12,0.05066613749239556
0.2,-3,"3,5",0.6478558820952286,0.167983549804285,12,0.04849267384946643
0.2,-3,"3,6",0.5797074447353312,0.10348271931748701,12,0.029872887927212807
0.2,-3,"4,5",0.740084597951313,0.18009645248183792,12,0.05198936766024289
0.2,-3,"4,6",0.77404451678288,0.11497337478372245,12,0.03318995444051095
0.2,-3,"5,6",0.7012622384367577,0.16394749004467343,12,0.04732756375512785
0.2,-2,"1,2",0.24389641419575367,0.15992856423167995,12,0.04616739980513539
0.2,-2,"1,3",0.26407918551335463,0.06285410658227487,12,0.018144417677474916
0.2,-2,"1,4",0.3905025726618339,0.13810391915552475,12,0.039867167450292264
0.2,-2,"1,5",0.32265133317418215,0.07260922972017163,12,0.020960479162296233
0.2,-2,"1,6",0.33535421075657573,0.09623107372632701,12,0.027779518160150812
