bin_size,TH,PC_pair,mean_RMSE,std_RMSE,count,se
0.1,-3,"1,2",0.3610177852766674,0.2145505642474612,18,0.050570052962259956
0.1,-3,"1,3",0.28383870907180636,0.12047432480237975,18,0.028396070675544467
0.1,-3,"1,4",0.3802857828371278,0.14105964383833253,18,0.033248076903281375
0.1,-3,"1,5",0.33492424371017393,0.10695878603766326,18,0.02521042763823757
0.1,-3,"1,6",0.3496688243336378,0.09407736079978334,18,0.022174246592553428
0.1,-3,"2,3",0.4627948231171746,0.28462576328585004,18,0.06708693577327389
0.1,-3,"2,4",0.49583772721537067,0.20350232533304038,18,0.04796595807674127
0.1,-3,"2,5",0.5018045224642331,0.23683521426670406,18,0.05582259534391847
0.1,-3,"2,6",0.5055015435504036,0.20309609184924185,18,0.04787020792636161
0.1,-3,"3,4",0.6057788655742656,0.24190329022220322,18,0.05701715230248579
0.1,-3,"3,5",0.5272989943132638,0.22084139367978228,18,0.052052815679220675
0.1,-3,"3,6",0.5356855912089861,0.16078346372893784,18,0.03789702583513109
0.1,-3,"4,5",0.6942560051493347,0.2139933871379302,18,0.05043872505810286
0.1,-3,"4,6",0.6398474329331605,0.2052559004142833,18,0.048379279687163476
0.1,-3,"5,6",0.6512070271270809,0.19578429511466489,18,0.04614680090846927
0.1,-2,"1,2",0.11534024899677367,0.06102242410582464,18,0.014383123296556683
0.1,-2,"1,3",0.12822654898031619,0.08783536704636233,18,0.020702994555497407
0.1,-2,"1,4",0.19852117286012425,0.14333230631932314,18,0.03378374858716695
0.1,-2,"1,5",0.22412657365203195,0.11864763208169267,18,0.02796551507223049
0.1,-2,"1,6",0.2489607775126198,0.08612368001353715,18,0.020299546052770817
0.1,-2,"2,3",0.20634268897687025,0.12011473048077854,18,0.02831131348111767
0.1,-2,"2,4",0.283800234480544,0.17774338724616368,18,0.041894518144276284
0.1,-2,"2,5",0.29598308016013664,0.16551752788011487,18,0.03901285545642089
0.1,-2,"2,6",0.30366055946319154,0.12430145993214588,18,0.029298135076469427
0.1,-2,"3,4",0.32627354695254585,0.2033038763221946,18,0.047919183196311665
0.1,-2,"3,5",0.3626348016925709,0.20582792992323345,18,0.048514108335435964
0.1,-2,"3,6",0.40067508331761953,0.1777145604270612,18,0.041887723597853824
0.1,-2,"4,5",0.5039654205504207,0.2958383682511724,18,0.06972977210852234
0.1,-2,"4,6",0.48792511864187926,0.1782473147218341,18,0.04201329498936721
0.1,-2,"5,6",0.6003381036137887,0.22265686880412505,18,0.0524807272697201
0.1,-1,"1,2",0.05929619208694042,0.01737148916465977,18,0.004094499262546519
0.1,-1,"1,3",0.07390815201181389,0.02734836023397404,18,0.0064460703252585206
0.1,-1,"1,4",0.10654920922853613,0.03792685588735265,18,0.008939445662343998
0.1,-1,"1,5",0.22090940708861398,0.10922291763124056,18,0.025744088572676644
0.1,-1,"1,6",0.2367830646754689,0.10010646690558582,18,0.02359532052985548
0.1,-1,"2,3",0.13003280463838132,0.05031261313489248,18,0.01185879664229928
0.1,-1,"2,4",0.15031954878937973,0.06293817481654794,18,0.014834670069428482
0.1,-1,"2,5",0.3015204981487591,0.1638431339275184,18,0.038618197017001324
0.1,-1,"2,6",0.32071563361425864,0.17570342320015347,18,0.041413694007506094
0.1,-1,"3,4",0.16651888068899753,0.05285167647473387,18,0.012457259610787282
0.1,-1,"3,5",0.375539235149693,0.29909990320517216,18,0.07049852326953908
0.1,-1,"3,6",0.4482257115468131,0.26221261645098054,18,0.061804106401718545
