,sample,bin_size,PC_pair,TH,RMSE
96,Sample_1,3.0,"4,5",-1,0.6023978873715845
97,Sample_1,0.4,"4,5",-2,0.7680037658139176
98,Sample_1,4.8,"4,5",-3,0.5101360167156712
99,Sample_1,0.9,"4,5",-3,0.28330270577167554
100,Sample_1,1.9,"4,5",-3,0.38515582203063853
101,Sample_1,2.3,"4,5",-3,0.48841638004245946
102,Sample_1,3.1,"4,5",-3,0.6656105133940704
103,Sample_1,1.7,"4,5",-3,0.4226054088224601
104,Sample_1,3.4,"4,5",-3,0.48089500715504335
105,Sample_1,0.45,"4,5",-3,0.738355826078215
106,Sample_1,2.15,"4,5",-2,0.7419094842313018
107,Sample_1,0.55,"4,5",-2,0.7890744029482738
108,Sample_1,3.35,"4,5",-2,0.725029686043757
109,Sample_1,4.8,"4,5",-1,0.6668464314372516
110,Sample_1,1.15,"4,5",-1,0.8030656714733511
111,Sample_1,0.25,"4,5",-1,0.7770203437344853
112,Sample_1,3.2,"4,5",-3,0.4562967013521575
113,Sample_1,0.2,"4,5",-3,0.757419988729984
114,Sample_1,2.25,"4,5",-3,0.7019622135800216
115,Sample_1,0.5,"4,5",-3,0.797446761562498
116,Sample_1,1.55,"4,5",-1,0.5782053754612914
117,Sample_1,3.2,"4,5",-2,0.737560359562989
118,Sample_1,4.2,"4,5",-3,0.8542283849601198
119,Sample_1,3.95,"4,5",-1,0.668239640329466
120,Sample_1,2.8,"4,5",-3,0.59423336170488
121,Sample_1,0.55,"4,5",-3,0.22385601607979583
122,Sample_1,0.15,"4,5",-2,0.27240246492604475
123,Sample_1,3.5,"4,5",-2,0.7096625636432986
124,Sample_1,1.7,"4,5",-2,0.5783936029605127
125,Sample_1,3.65,"4,5",-1,0.5974814623404794
126,Sample_1,2.4,"4,5",-3,0.5371443937011069
127,Sample_1,3.45,"4,5",-1,0.5777331817469844
128,Sample_1,0.75,"4,5",-1,0.8353907521221311
129,Sample_1,3.3,"4,5",-2,0.7611741742225625
130,Sample_1,4.45,"4,5",-3,0.5006622942592329
131,Sample_1,2.2,"4,5",-2,0.6614097041452236
132,Sample_1,3.1,"4,5",-2,0.7538298756471598
133,Sample_1,1.8,"4,5",-2,0.6759229047888151
134,Sample_1,4.1,"4,5",-2,0.7505156436469881
135,Sample_1,3.5,"4,5",-3,0.5833318978286225
136,Sample_1,4.45,"4,5",-2,0.772622520845869
137,Sample_1,1.65,"4,5",-1,0.7630092096187884
138,Sample_1,2.65,"4,5",-3,0.494382996021238
139,Sample_1,2.2,"4,5",-1,0.7762350170250106
140,Sample_1,1.55,"4,5",-2,0.5313262463449958
141,Sample_1,2.9,"4,5",-2,0.677117912704803
142,Sample_1,4.7,"4,5",-3,0.7496258080449237
143,Sample_1,1.2,"4,5",-3,0.23116305879098184
144,Sample_1,4.5,"4,5",-3,0.6075312063285621
145,Sample_1,1.6,"4,5",-3,0.3042190373141806
146,Sample_1,1.1,"4,5",-1,0.806579621075556
147,Sample_1,4.9,"4,5",-3,0.6652791610438789
148,Sample_1,4.6,"4,5",-3,0.5591211306740792
149,Sample_1,4.95,"4,5",-3,0.6684360361116747
150,Sample_1,2.15,"4,5",-1,0.8159340657327211
151,Sample_1,0.6,"4,5",-1,0.5308139099430705
152,Sample_1,2.05,"4,5",-2,0.572178920259049
153,Sample_1,0.95,"4,5",-3,0.4429034886368386
154,Sample_1,0.3,"4,5",-1,0.7870880801414507
155,Sample_1,1.25,"4,5",-1,0.8130094829966619
156,Sample_1,2.1,"4,5",-1,0.43374520489046375
157,Sample_1,4.25,"4,5",-1,0.5850448613550598
158,Sample_1,4.4,"4,5",-2,0.8276610915804428
159,Sample_1,0.6,"4,5",-2,0.3786911041794766
160,Sample_1,0.35,"4,5",-3,0.15776079713451785
161,Sample_1,2.75,"4,5",-3,0.7826654253282754
162,Sample_1,4.2,"4,5",-1,0.6551508531039588
163,Sample_1,3.4,"4,5",-2,0.7705834663439625
164,Sample_1,0.8,"4,5",-3,0.26511611334713964
165,Sample_1,0.65,"4,5",-1,0.6249771797093255
166,Sample_1,4.05,"4,5",-3,0.8327800236378553
167,Sample_1,0.9,"4,5",-2,0.5881440912791668
168,Sample_1,4.8,"4,5",-2,0.7542532437983832
169,Sample_1,4.5,"4,5",-2,0.8106573695363097
170,Sample_1,1.2,"4,5",-2,0.7103835179450332
171,Sample_1,4.85,"4,5",-1,0.8050886134068953
172,Sample_1,2.3,"4,5",-2,0.7789560467460847
173,Sample_1,4.05,"4,5",-1,0.8034553467940448
174,Sample_1,2.9,"4,5",-3,0.5640722483774041
175,Sample_1,2.25,"4,5",-1,0.8138350410741292
176,Sample_1,2.35,"4,5",-2,0.6484364992868105
177,Sample_1,3.9,"4,5",-1,0.8558794263311176
178,Sample_1,3.15,"4,5",-2,0.7896926922556364
179,Sample_1,4.4,"4,5",-3,0.828541778805964
180,Sample_1,2.45,"4,5",-1,0.782258238412637
181,Sample_1,1.15,"4,5",-3,0.2925064441414567
182,Sample_1,2.5,"4,5",-3,0.40297855945293837
183,Sample_1,5.0,"4,5",-1,0.733329309525168
184,Sample_1,3.75,"4,5",-2,0.7289793226594641
185,Sample_1,2.85,"4,5",-1,0.6150321403043221
186,Sample_1,0.5,"4,5",-1,0.7309295355769263
187,Sample_1,1.75,"4,5",-3,0.35356474326426357
188,Sample_1,1.05,"4,5",-2,0.6450152920068962
189,Sample_1,4.35,"4,5",-2,0.7777897666748773
190,Sample_1,0.25,"4,5",-3,0.7871144912197507
191,Sample_1,3.75,"4,5",-3,0.6226067034177358
192,Sample_1,4.15,"4,5",-2,0.777500172336897
193,Sample_1,4.85,"4,5",-2,0.8138544609753754
194,Sample_1,4.55,"4,5",-1,0.7627448763499587
195,Sample_1,3.6,"4,5",-2,0.7611195560714009
196,Sample_1,1.9,"4,5",-1,0.7772315266615201
197,Sample_1,1.2,"4,5",-1,0.8001873735879923
198,Sample_1,3.6,"4,5",-3,0.45744755768962636
199,Sample_1,1.4,"4,5",-2,0.5340854572857446
200,Sample_1,3.05,"4,5",-3,0.4825197159336346
201,Sample_1,1.55,"4,5",-3,0.7681336264475143
202,Sample_1,2.7,"4,5",-3,0.743412153450331
203,Sample_1,0.75,"4,5",-3,0.786529767284923
204,Sample_1,4.15,"4,5",-3,0.5673892280517967
205,Sample_1,4.0,"4,5",-2,0.7696163126172046
206,Sample_1,1.25,"4,5",-2,0.5483083919023147
207,Sample_1,2.95,"4,5",-1,0.8720839686138198
208,Sample_1,2.75,"4,5",-2,0.6616101107403007
209,Sample_1,0.15,"4,5",-1,0.8002870349788391
210,Sample_1,4.75,"4,5",-2,0.7925061718455366
211,Sample_1,0.95,"4,5",-2,0.6448607289956514
212,Sample_1,2.55,"4,5",-2,0.6418486370110315
213,Sample_1,3.5,"4,5",-1,0.6411216252694475
214,Sample_1,4.6,"4,5",-1,0.6350753795325687
215,Sample_1,3.1,"4,5",-1,0.598455453807769
216,Sample_1,1.45,"4,5",-2,0.5556358261213827
217,Sample_1,2.5,"4,5",-2,0.7134104988580513
218,Sample_1,2.65,"4,5",-2,0.7245441976781803
219,Sample_1,3.4,"4,5",-1,0.7095887936216128
220,Sample_1,0.8,"4,5",-1,0.5805471089057009
221,Sample_1,0.9,"4,5",-1,0.7576827298800093
222,Sample_1,1.8,"4,5",-3,0.31882993025221074
223,Sample_1,0.65,"4,5",-3,0.7640971565101471
224,Sample_1,3.65,"4,5",-3,0.641013776171704
225,Sample_1,4.1,"4,5",-1,0.585322191260433
226,Sample_1,1.75,"4,5",-1,0.7684847707213718
227,Sample_1,2.8,"4,5",-2,0.7158910230322995
228,Sample_1,0.85,"4,5",-3,0.31554048783130995
229,Sample_1,1.35,"4,5",-3,0.7699494610877455
230,Sample_1,1.3,"4,5",-3,0.33111318174374715
231,Sample_1,2.7,"4,5",-2,0.7532162058162359
232,Sample_1,0.75,"4,5",-2,0.43819443695282445
233,Sample_1,1.4,"4,5",-3,0.36118817697258254
234,Sample_1,3.35,"4,5",-3,0.8142105103772912
235,Sample_1,4.5,"4,5",-1,0.6290920929806048
236,Sample_1,3.3,"4,5",-3,0.8399948272106125
237,Sample_1,4.05,"4,5",-2,0.7986014562525227
238,Sample_1,3.85,"4,5",-3,0.6708936428221774
239,Sample_1,2.0,"4,5",-3,0.7484801830407275
240,Sample_1,1.5,"4,5",-3,0.29569116979784466
241,Sample_1,3.15,"4,5",-1,0.765421604833174
242,Sample_1,4.7,"4,5",-1,0.6535816996253743
243,Sample_1,1.05,"4,5",-3,0.2634433737554866
244,Sample_1,0.55,"4,5",-1,0.7955773920629345
245,Sample_1,1.15,"4,5",-2,0.45091461610748435
246,Sample_1,0.4,"4,5",-3,0.787041991082942
247,Sample_1,2.8,"4,5",-1,0.8505148014469074
248,Sample_1,1.1,"4,5",-3,0.29249830821897177
249,Sample_1,2.6,"4,5",-2,0.7970774928869834
250,Sample_1,0.45,"4,5",-2,0.7883042862800025
251,Sample_1,1.0,"4,5",-2,0.700661377156366
252,Sample_1,4.25,"4,5",-2,0.7236741651984795
253,Sample_1,4.15,"4,5",-1,0.6211437685437429
254,Sample_1,1.45,"4,5",-1,0.7248260933105581
255,Sample_1,2.25,"4,5",-2,0.6184833386932795
256,Sample_1,4.35,"4,5",-3,0.6047394386127668
257,Sample_1,0.85,"4,5",-1,0.7739314397031652
258,Sample_1,2.5,"4,5",-1,0.8269003950286555
259,Sample_1,0.7,"4,5",-1,0.7874825869574227
260,Sample_1,3.25,"4,5",-2,0.7832088822624924
261,Sample_1,1.6,"4,5",-2,0.6015207296454095
262,Sample_1,1.7,"4,5",-1,0.6876935894808334
263,Sample_1,3.2,"4,5",-1,0.8013548252104382
264,Sample_1,4.65,"4,5",-1,0.6629191561331415
265,Sample_1,4.0,"4,5",-1,0.6328404989050549
266,Sample_1,3.7,"4,5",-1,0.7171245369722483
267,Sample_1,4.55,"4,5",-2,0.7937518752170575
268,Sample_1,2.0,"4,5",-1,0.6228259268778755
