bin_size,TH,PC_pair,mean_RMSE,std_RMSE,count,se
0.1,-3,"1,2",0.2036817248041796,0.09931499858268031,18,0.023408769657115202
0.1,-3,"1,3",0.23252464135479758,0.1411090803525914,18,0.03325972920143827
0.1,-3,"1,4",0.34071279353750555,0.12709930309390857,18,0.029957593033929034
0.1,-3,"1,5",0.32126710162871824,0.11632030673247876,18,0.027416959226744985
0.1,-3,"1,6",0.32935199491661316,0.10383342504840233,18,0.024473772988516804
0.1,-3,"2,3",0.31340113150565174,0.20190056065018255,18,0.04758841852036997
0.1,-3,"2,4",0.469857094947519,0.20081724773407475,18,0.047333079217327705
0.1,-3,"2,5",0.3685910545522369,0.18783167944444945,18,0.04427235141894269
0.1,-3,"2,6",0.42097499941814376,0.1418979370997879,18,0.033445664519880736
0.1,-3,"3,4",0.5420962340673312,0.2285644703252418,18,0.0538731623017633
0.1,-3,"3,5",0.4563160481753246,0.18794423984937997,18,0.044298882160815845
0.1,-3,"3,6",0.5020148577862642,0.13856981932890347,18,0.032661219638420794
0.1,-3,"4,5",0.666260573902018,0.19083452555665956,18,0.044980129035210495
0.1,-3,"4,6",0.5923315238503034,0.134344143923706,18,0.03166521839371801
0.1,-3,"5,6",0.6728339567903524,0.11702564280882162,18,0.027583208534277502
0.1,-2,"1,2",0.07970051514820137,0.03886030260735927,18,0.00915946116420834
0.1,-2,"1,3",0.10323062210949019,0.08406085557414378,18,0.01981333366960669
0.1,-2,"1,4",0.17331866441147298,0.13260867122009268,18,0.03125616355462164
0.1,-2,"1,5",0.2267678681773789,0.09803780886258638,18,0.02310773315313515
0.1,-2,"1,6",0.22388195938089395,0.10292097655198022,18,0.024258706815415625
0.1,-2,"2,3",0.1450092606695874,0.08460406324941319,18,0.01994136894653188
0.1,-2,"2,4",0.20431980399964292,0.17497025983015652,18,0.04124088574395862
0.1,-2,"2,5",0.2723266004508369,0.1560072775076306,18,0.036771267946699056
0.1,-2,"2,6",0.27524446549406156,0.1294711337685213,18,0.03051663888521067
0.1,-2,"3,4",0.2695519032119139,0.18453359318367998,18,0.04349498503229993
0.1,-2,"3,5",0.32033619781321765,0.21074636584212514,18,0.04967339479912923
0.1,-2,"3,6",0.33103584780229667,0.15557886508905397,18,0.03667029017125903
0.1,-2,"4,5",0.398072527483856,0.2158596677831961,18,0.050878611624724436
0.1,-2,"4,6",0.4488472265286738,0.18340063696650163,18,0.04322794469098184
0.1,-2,"5,6",0.6287955039814254,0.13059092141494275,18,0.030780575364635184
0.1,-1,"1,2",0.05189337608141845,0.011192020534406552,18,0.002637984538352654
0.1,-1,"1,3",0.072758041102013,0.019930197139275112,18,0.0046975925158553875
0.1,-1,"1,4",0.12325054932028971,0.0409104716833896,18,0.009642690649621673
0.1,-1,"1,5",0.17631414127063863,0.08133176666558391,18,0.019170081245038793
0.1,-1,"1,6",0.2367370414813614,0.08315075660195942,18,0.0195988212846792
0.1,-1,"2,3",0.0885102471998669,0.0290516850708074,18,0.006847547839487966
0.1,-1,"2,4",0.11131960666395137,0.04118286719306838,18,0.00970689488697455
0.1,-1,"2,5",0.21028418650558456,0.09806757247763527,18,0.023114748504479712
0.1,-1,"2,6",0.29081788503746697,0.09743927255505308,18,0.022966656792520763
0.1,-1,"3,4",0.16314394823654668,0.04398602845815274,18,0.010367606333408089
0.1,-1,"3,5",0.1965371928786931,0.18092232778468922,18,0.04264380161486969
0.1,-1,"3,6",0.41318908400039916,0.19861221366179033,18,0.04681334770224114
0.1,-1,"4,5",0.31933951261955207,0.18965694527831542,18,0.0447025707018076
0.1,-1,"4,6",0.5164980442299386,0.20710112563372518,18,0.04881420344232474
0.1,-1,"5,6",0.6597835657554346,0.14914993971720206,18,0.03515497792919945
0.2,-3,"1,2",0.21560421592057388,0.10629472085577206,18,0.025053905973815856
0.2,-3,"1,3",0.24582946424675495,0.135341731334939,18,0.03190035200148775
0.2,-3,"1,4",0.3235584203464951,0.11645375379484696,18,0.02744841300098831
0.2,-3,"1,5",0.3286168949107353,0.11898883580981091,18,0.028045937562203336
0.2,-3,"1,6",0.3583246976814071,0.1014526490613274,18,0.023912618706867877
0.2,-3,"2,3",0.3424428871638621,0.1894304353077283,18,0.0446491817897381
0.2,-3,"2,4",0.46037885974338383,0.19136180166945083,18,0.04510440920684796
0.2,-3,"2,5",0.38126651390742705,0.16687878718918087,18,0.039333707352552184
0.2,-3,"2,6",0.4626101783436002,0.1417276361834479,18,0.03340552420895197
0.2,-3,"3,4",0.5270303821341652,0.22364294928291129,18,0.0527131486675019
0.2,-3,"3,5",0.4418017145264241,0.16304068007589415,18,0.0384290568303104
0.2,-3,"3,6",0.5293109789214961,0.12996023241358723,18,0.030631920541409098
0.2,-3,"4,5",0.6433298372402159,0.16852817882752974,18,0.03972247268998848
0.2,-3,"4,6",0.646599475620449,0.1324756107060846,18,0.03122480089070054
0.2,-3,"5,6",0.6809874038696396,0.1392185281874949,18,0.03281412178272938
0.2,-2,"1,2",0.09891103968942769,0.04370696336827684,18,0.01030183006092686
0.2,-2,"1,3",0.1264783359806493,0.11084346567995886,18,0.026126055410839087
0.2,-2,"1,4",0.21859375550967566,0.13617939978523053,18,0.032097792348683464
0.2,-2,"1,5",0.2737177786418179,0.10604088868594097,18,0.02499407715762557
0.2,-2,"1,6",0.24377378491804283,0.09711613067373877,18,0.02289049152066652
0.2,-2,"2,3",0.1489853398751878,0.08693831690468314,18,0.020491557809415504
0.2,-2,"2,4",0.22443084066005559,0.16768023188219636,18,0.03952260967827793
0.2,-2,"2,5",0.3318716375561193,0.15167732719974525,18,0.03575068887173022
0.2,-2,"2,6",0.2995985596777662,0.1351648891610668,18,0.03185866990137281
0.2,-2,"3,4",0.3026485773723537,0.15354425151777767,18,0.03619072715347781
0.2,-2,"3,5",0.39110447253969277,0.2218008845119772,18,0.052278969837197785
0.2,-2,"3,6",0.38261499252514364,0.14048449018640138,18,0.033112511887446475
0.2,-2,"4,5",0.5083133011366545,0.21922584362894798,18,0.05167202688045694
0.2,-2,"4,6",0.4893005674239617,0.17792766949099784,18,0.04193795388593446
0.2,-2,"5,6",0.6717671788645316,0.14706602594571408,18,0.03466379474279039
0.2,-1,"1,2",0.07199231355949028,0.018962417685590222,18,0.004469484711057522
0.2,-1,"1,3",0.09752982569263222,0.031752271023972815,18,0.007484082053041434
0.2,-1,"1,4",0.14082554769514954,0.04137348834721645,18,0.009751824723886453
0.2,-1,"1,5",0.19261016903547426,0.06380094660993339,18,0.015038027331334925
0.2,-1,"1,6",0.25319917288011273,0.07335641471320233,18,0.017290272762412667
0.2,-1,"2,3",0.11551088422720822,0.045342699727999355,18,0.01068737681832459
0.2,-1,"2,4",0.15532108593535318,0.06419791857140213,18,0.015131594519966748
0.2,-1,"2,5",0.24070466834674642,0.08827126251826681,18,0.020805736103521464
0.2,-1,"2,6",0.3298599674931889,0.11044025156060494,18,0.026031016931483984
0.2,-1,"3,4",0.1908967549115952,0.042480884744186743,18,0.0100128405578062
0.2,-1,"3,5",0.23729464136431005,0.16236229193823648,18,0.03826915921283898
0.2,-1,"3,6",0.4280113465707308,0.16102066721266503,18,0.03795293523241928
0.2,-1,"4,5",0.3842529211443287,0.1715506541840835,18,0.04043487696351794
0.2,-1,"4,6",0.5797139518749161,0.17793963036306995,18,0.041940773090518156
0.2,-1,"5,6",0.7017342208340503,0.14452881523884442,18,0.03406576844408151
0.3,-3,"1,2",0.2414626945140473,0.10982276801859198,18,0.025885474664874498
